txt_r1,txt_r5,txt_r10,txt_r_mean,img_r1,img_r5,img_r10,img_r_mean,r_mean,agg_metrics,model_size,visual_encoder_block_modules,visual_encoder_block_indices,visual_encoder_block_weight_bits,qformer_layer_indices,qformer_self_attention_modules,qformer_self_attention_weight_bits,qformer_cross_attention_modules,qformer_cross_attention_weight_bits,qformer_text_ff_modules,qformer_text_ff_weight_bits,qformer_img_ff_modules,qformer_img_ff_weight_bits,job_batch,vit_attn,vit_ff,vit_front_blocks,vit_middle_blocks,vit_end_blocks,vit_weight_bits,qformer_front_blocks,qformer_middle_blocks,qformer_end_blocks,qformer_self_attn,qformer_cross_attn,qformer_text_ff,qformer_img_ff,qformer_weight_bits,Quantized Portion
0.0,0.6,1.0,0.5333333333333333,0.06,0.56,1.0,0.54,0.5366666666666666,0.5333333333333333,1916.850804,"['qkv', 'proj', 'fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[4, 5, 6, 7, 8, 9, 10, 11]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,True,True,False,True,True,2.0,False,True,True,True,True,True,True,2.0,ViT + Q-Former
0.0,0.6,1.0,0.5333333333333333,0.1,0.44,0.84,0.45999999999999996,0.49666666666666665,0.5333333333333333,3409.723284,"['qkv', 'proj']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,False,True,True,True,2.0,True,True,True,False,False,True,False,2.0,ViT + Q-Former
0.0,0.6,1.1,0.5666666666666668,0.06,0.44,0.94,0.48,0.5233333333333334,0.5666666666666668,2058.523764,"['qkv', 'proj', 'fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[4, 5, 6, 7, 8, 9, 10, 11]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,True,False,True,True,2.0,False,True,True,True,True,True,False,2.0,ViT + Q-Former
0.0,0.6,1.1,0.5666666666666668,0.12,0.48,1.0,0.5333333333333333,0.55,0.5666666666666668,878.273844,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,True,True,True,True,2.0,True,True,True,False,False,True,False,2.0,ViT + Q-Former
0.1,0.3,0.6,0.3333333333333333,0.14,0.76,1.54,0.8133333333333334,0.5733333333333334,0.3333333333333333,2250.730644,"['fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",,2.0,,2.0,,2.0,,2.0,nbit_flickr_4_2,False,True,True,True,True,2.0,True,True,True,False,False,False,False,2.0,ViT + Q-Former
0.1,0.3,0.6,0.3333333333333333,0.14,0.76,1.54,0.8133333333333334,0.5733333333333334,0.3333333333333333,2250.730644,"['fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,,,,,,,,,,nbit_vit,False,True,True,True,True,2.0,False,False,False,False,False,False,False,,ViT
0.1,0.3,0.7,0.3666666666666667,0.18,0.9,1.44,0.84,0.6033333333333333,0.3666666666666667,2179.575924,"['qkv', 'proj', 'fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[4, 5, 6, 7, 8, 9, 10, 11]",,2.0,,2.0,,2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,True,True,False,True,True,2.0,False,True,True,False,False,False,True,2.0,ViT + Q-Former
0.1,0.3,0.8,0.4000000000000001,0.06,0.48,0.98,0.5066666666666667,0.45333333333333337,0.4000000000000001,2690.149044,"['fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[4, 5, 6, 7, 8, 9, 10, 11]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,"['intermediate', 'output']",2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,False,True,False,True,True,2.0,False,True,True,True,True,True,True,2.0,ViT + Q-Former
0.1,0.3,0.8,0.4000000000000001,0.32,0.84,1.18,0.7799999999999999,0.59,0.4000000000000001,2321.248884,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 8, 9, 10, 11]",,2.0,,2.0,,2.0,,2.0,nbit_flickr_4_2,True,True,True,False,True,2.0,True,False,True,False,False,False,False,2.0,ViT + Q-Former
0.1,0.3,0.8,0.4000000000000001,0.32,0.84,1.18,0.7799999999999999,0.59,0.4000000000000001,2321.248884,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,,,,,,,,,,nbit_vit,True,True,True,False,True,2.0,False,False,False,False,False,False,False,,ViT
